dwc:stateProvince	dwc:countryCode	dwc:collectionID	dwc:decimalLongitude	dwc:recordedBy	idigbio:uuid	dwc:month	commonname	dwc:collectionCode	dwc:day	taxonid	dwc:decimalLatitude	dwc:occurrenceID	dwc:basisOfRecord	dwc:institutionID	dwc:institutionCode	dwc:year	dwc:scientificName	dwc:continent	dwc:catalogNumber
Morelos		a3883acd-bc7d-40f2-a6e4-372a3435e5d1		Pringle, C.G.	11674d07-2722-432a-8e0b-3e4ccf823250	11			27	3752543		988D1E97-0A7E-4C67-A8F9-3F63D1019644	PreservedSpecimen		CM	1902	Heuchera hemsleyana	north america	CM224140
Mexico		8f1d56aa-02cb-422d-9259-f2fba3efeea3		C. A. Purpus	686f23ce-1a3a-4c4a-9e50-9bdf475530db	12		RSA-POM	0	3752543		99a8a7fd-6c07-463f-babe-ec2d1864b5f8	PreservedSpecimen		POM	1905	Heuchera hemsleyana	north america	RSA0076262
México	MX	http://biocol.org/urn:lsid:biocol.org:col:15859	-100.0333333	George B. Hinton	0a6fecfd-87ed-4878-9695-c7ef0fc1ead9	2		MO	23	3752543	19.0166667	urn:catalog:MO:Tropicos:3619400	PreservedSpecimen		MO	1936	Heuchera hemsleyana Rosend., Butters & Lakela	north america	3619400
Oaxaca	MX	http://biocol.org/urn:lsid:biocol.org:col:15859		Gary J. Martin	de0afbd9-c2c8-4699-a106-540793505de5	4		MO	7	3752543		urn:catalog:MO:Tropicos:2032584	PreservedSpecimen		MO	1981	Heuchera hemsleyana Rosend., Butters & Lakela	north america	2032584
Durango	MX	http://biocol.org/urn:lsid:biocol.org:col:15859	-105.7500000	Dennis E. Breedlove	947a468e-3e93-4520-b3e5-db7e35f0ef8f	10		MO	28	3752543	23.6500000	urn:catalog:MO:Tropicos:2033490	PreservedSpecimen		MO	1973	Heuchera hemsleyana Rosend., Butters & Lakela	north america	2033490
		8f1d56aa-02cb-422d-9259-f2fba3efeea3		C. A. Purpus	cfa9c331-faa1-4673-934a-57de9b75461c	3		RSA-POM	0	3752543		bc37ed05-78a2-4855-ab82-ec8432af8cdd	PreservedSpecimen		POM	1903	Heuchera hemsleyana	north america	RSA0076261
Morelos	MX	http://biocol.org/urn:lsid:biocol.org:col:15859		Cyrus G. Pringle	e3ccba55-fe08-4ef5-a7f3-8811ebf8b78a	11		MO	27	3752543		urn:catalog:MO:Tropicos:2032094	PreservedSpecimen		MO	1902	Heuchera hemsleyana Rosend., Butters & Lakela	north america	2032094
		http://biocol.org/urn:lsid:biocol.org:col:15556	0		673389ea-ac4d-4818-ae2f-4507e323e69f	0		NY	0	3752543	0	7ceca7f5-01ec-4fdb-be42-4bdd307aaa7c	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:15556	NY	0	Heuchera hemsleyana Rosend., Butters & Lakela		03462559
NUEVO LEON	MX	256	-99.98222	B. Hinton; et al.	a9f142bd-9776-4c78-94a9-7a78b1d58c17	5		IEB	18	3753319	23.74556	urn:catalog:INECOL:IEB:135893:84f2c221400d9d927098ec88e22baeb1	PreservedSpecimen	1913	INECOL	1978	Heuchera amoena	north america	135893
NUEVO LEON	MX	546	-100.115	R. T. Clausen	ccf2120e-5010-4869-8067-960e5385fe6d	4		ENCB	11	3753319	25.4266667	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:72362291942ad7ceee8a4695577e1469	PreservedSpecimen	2028	ENCB-IPN	1949	Heuchera amoena	north america	NO DISPONIBLE
NUEVO LEON	MX	546	-100.7522222	C. G. Pringle	2a476bf7-a14f-4cd0-a3b6-405e79563610	3		ENCB	29	3753319	25.8558333	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:14bde98b8988419387dd69f15c155c31	PreservedSpecimen	2028	ENCB-IPN	1906	Heuchera amoena	north america	NO DISPONIBLE
NUEVO LEON	MX	546	-99.9569444	George B. Hinton; et al.	13862641-1a66-4bc2-87a2-42e03da13bd6	5		ENCB	18	3753319	23.7480556	urn:catalog:ENCB-IPN:ENCB:NO DISPONIBLE:dcf8872b314ad904b5224ba82ccfc2bc	PreservedSpecimen	2028	ENCB-IPN	1978	Heuchera amoena	north america	NO DISPONIBLE
Nuevo Leon	MX			C. G. Pringle	ae3dc032-ed80-4fa4-a595-7d387977cd31			VascularPlants		3753319		S:VascularPlants:S14-31150	preservedspecimen	urn:lsid:biocol.org:col:15668	S		Heuchera amoena Rosend., Butters & Lakela	North America	S14-31150
Nuevo León				C. G. Pringle	c2b98ce7-2cc8-45ae-80c5-6c9677f584cd	3		Botany	29	3753319		http://n2t.net/ark:/65665/370206fc1-3b0d-4da0-85e5-c52c85cf29e5	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:34871	US	1906	Heuchera amoena	North America	462264
Nuevo León		http://biocol.org/urn:lsid:biocol.org:col:15556	0	C. G. Pringle	616fd4a8-dd46-4ad2-9a7f-9986f4dfa7e4	3		NY	29	3753319	0	dcb5196b-0a18-49e4-8e90-9c27df353279	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:15556	NY	1906	Heuchera amoena Rosend., Butters & Lakela	North America	02497210
Nuevo Leon		f292c83d-305c-4b22-97cc-cd9c72e2931e		Pringle, C.G.	c39095ce-e5f5-4fc0-94e5-29116abf8610	3		Plants	29	3753319		urn:uuid:01149491-1f54-459f-9e0c-0e0ca33f375a	PreservedSpecimen		MIN	1906	Heuchera amoena	north america	122915
Nuevo León	MX	http://biocol.org/urn:lsid:biocol.org:col:15859	-100.3000000	Cyrus G. Pringle	fb3be0de-884d-486f-996d-8a8d507c7d74	3		MO	29	3753319	25.6700000	urn:catalog:MO:Tropicos:1701158	PreservedSpecimen		MO	1906	Heuchera amoena Rosend., Butters & Lakela	north america	1701158
		Botany	-102.0000	C. G. Pringle	d280fd67-8d33-48da-b696-827ed998ace5	3		Botany	29	3753319	23.0000	492bb702-99eb-4cab-8f43-3da0527e0a8f	PreservedSpecimen	F	F	1906	Heuchera amoena Rosend. et al.	North America	V0360462F
