species, decimallongitude, decimallatitude
Heuchera_abramsii,-117.63603,34.30329
Heuchera_abramsii,-117.63603,34.30329
Heuchera_acutifolia,-96.36670303,17.29999494
Heuchera_acutifolia,-97.25932662,19.7372675
Heuchera_acutifolia,-98.48184827,20.53767129
Heuchera_acutifolia,-97.08331549,19.55004634
Heuchera_acutifolia,-98.45003994,20.63498505
Heuchera_acutifolia,-97.25930375,19.68515229
Heuchera_acutifolia,-97.12473015,19.48467739
Heuchera_acutifolia,-97.13332791,19.58324784
Heuchera_acutifolia,-97.08332952,19.49997487
Heuchera_acutifolia,-97.58743154,19.87517961
Heuchera_acutifolia,-98.17890672,20.33658417
Heuchera_acutifolia,-97.13331148,19.68336077
Heuchera_acutifolia,-98.1297403,20.34258847
Heuchera_acutifolia,-95.87298516,17.20651945
Heuchera_acutifolia,-98.7220116,19.21112005
Heuchera_acutifolia,-96.03334996,17.18661579
Heuchera_acutifolia,-96.06660798,17.01660974
Heuchera_acutifolia,-98.74268467,20.20066966
Heuchera_acutifolia,-96.53727503,17.69898734
Heuchera_alba,-79.583016,38.335642
Heuchera_alba,-78.734779,39.395243
Heuchera_alba,-79.156905,39.383779
Heuchera_alba,-79.5336594,38.5537286
Heuchera_alba,-78.396954,39.531205
Heuchera_alba,-79.60164,38.500107
Heuchera_alba,-79.315872,38.399154
Heuchera_alba,-79.21121,38.355764
Heuchera_alba,-79.532828,38.699836
Heuchera_alba,-78.30135667,40.02438667
Heuchera_alba,-79.18181,38.594238
Heuchera_alba,-79.467308,38.874203
Heuchera_alba,-79.276913,38.917228
Heuchera_alba,-79.202538,38.98761
Heuchera_alba,-79.270874,38.847334
Heuchera_alba,-79.495325,38.563451
Heuchera_alba,-79.07992182,39.004845
Heuchera_alba,-79.17176653,38.568551
Heuchera_alba,-79.17392799,38.570226
Heuchera_alba,-79.77936229,38.741448
Heuchera_alba,-79.24476594,38.46296
Heuchera_americana,-84.6466666667,40.6877777778
Heuchera_americana,-84.5919444444,40.8641666667
Heuchera_americana,-84.5472222222,39.2022222222
Heuchera_americana,-84.1936111111,40.5677777778
Heuchera_americana,-84.1741666667,41.3119444444
Heuchera_americana,-84.0583333333,41.3758333333
Heuchera_americana,-84.0077777778,39.6088888889
Heuchera_americana,-83.9325000000,39.5075000000
Heuchera_americana,-83.8897222222,39.8002777778
Heuchera_americana,-83.8869444444,39.8063888889
Heuchera_americana,-83.8458333333,39.7897222222
Heuchera_americana,-83.5452777778,40.4019444444
Heuchera_americana,-83.4388888889,39.4313888889
Heuchera_americana,-83.0680555556,40.2986111111
Heuchera_americana,-83.0663888889,40.1044444444
Heuchera_americana,-83.0491666667,38.8408333333
Heuchera_americana,-83.0105555556,40.0180555556
Heuchera_americana,-82.9861111111,39.9897222222
Heuchera_americana,-82.9861111111,39.9897222222
Heuchera_americana,-82.9861111111,39.9897222222
Heuchera_americana,-82.8208333333,41.6500000000
Heuchera_americana,-82.8208333333,41.6500000000
Heuchera_americana,-82.8086111111,38.9288888889
Heuchera_americana,-82.7880555556,41.3238888889
Heuchera_americana,-82.6830555556,38.5366666667
Heuchera_americana,-82.6830555556,38.5366666667
Heuchera_americana,-82.5530555556,39.6580555556
Heuchera_americana,-82.5250000000,40.7536111111
Heuchera_americana,-82.5250000000,40.7536111111
Heuchera_americana,-82.4936111111,40.9736111111
Heuchera_americana,-82.4880555556,41.3266666667
Heuchera_americana,-82.4880555556,41.3266666667
Heuchera_americana,-82.4880555556,41.3266666667
Heuchera_americana,-82.4880555556,41.3266666667
Heuchera_americana,-82.4575000000,38.6216666667
Heuchera_americana,-82.4188888889,40.0625000000
Heuchera_americana,-82.4138888889,41.3233333333
Heuchera_americana,-82.3997222222,41.2544444444
Heuchera_americana,-82.3919444444,41.2505555556
Heuchera_americana,-82.3919444444,41.2505555556
Heuchera_americana,-82.3641666667,41.4269444444
Heuchera_americana,-82.3641666667,41.4269444444
Heuchera_americana,-82.3638888889,41.3369444444
Heuchera_americana,-82.3608333333,41.3300000000
Heuchera_americana,-82.3008333333,41.3416666667
Heuchera_americana,-82.2225000000,41.3977777778
Heuchera_americana,-82.2186111111,41.3819444444
Heuchera_americana,-82.1411111111,40.6258333333
Heuchera_americana,-82.1286111111,41.0905555556
Heuchera_americana,-82.1013888889,39.3291666667
Heuchera_americana,-82.1005555556,41.3752777778
Heuchera_americana,-82.1005555556,41.3752777778
Heuchera_americana,-82.1005555556,41.3752777778
Heuchera_americana,-82.0963888889,41.4211111111
Heuchera_americana,-81.9827777778,40.8163888889
Heuchera_americana,-81.9827777778,40.8163888889
Heuchera_americana,-81.9444444444,40.7125000000
Heuchera_americana,-81.9355555556,40.8108333333
Heuchera_americana,-81.9355555556,40.8108333333
Heuchera_americana,-81.9355555556,40.8108333333
Heuchera_americana,-81.7913888889,40.3641666667
Heuchera_americana,-81.7913888889,40.3641666667
Heuchera_americana,-81.7325000000,41.2261111111
Heuchera_americana,-81.7325000000,41.2261111111
Heuchera_americana,-81.7325000000,41.2261111111
Heuchera_americana,-81.6488888889,41.1616666667
Heuchera_americana,-81.5427777778,40.3305555556
Heuchera_americana,-81.5086111111,41.2408333333
Heuchera_americana,-81.3750000000,40.8627777778
Heuchera_americana,-81.3422222222,41.3838888889
Heuchera_americana,-81.3311111111,40.9636111111
Heuchera_americana,-81.3205555556,41.2466666667
